bigram,count
covid 19,1676
systematic review,558
case report,499
acute respiratory,448
influenza virus,363
controlled trial,359
intensive care,341
virus infection,336
infectious diseases,331
randomized controlled,330
meta analysis,321
cross sectional,319
public health,301
cohort study,270
machine learning,269
19 pandemic,259
mental health,257
sars cov,248
respiratory distress,238
distress syndrome,227
health care,214
hepatitis virus,213
sectional study,210
critically ill,209
review meta,207
study protocol,204
care unit,203
respiratory syndrome,199
risk factors,198
infectious disease,194
